Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.42324,1.57075,0.79641,0.45914,0.6675,1.17272,1.07109,1.09505,0.69119,0.40474,0.47363,0.71167,0.72231,0.56642,0.19999,0.17851,
5 to 9,1.95488,6.26681,2.59484,0.88973,0.49622,0.58055,1.18525,1.44389,1.04842,0.72707,0.50225,0.79197,0.73565,0.86729,0.55776,0.24357,
10 to 14,1.14273,2.10563,6.47576,2.50465,0.52759,0.28878,0.78243,1.04866,0.95556,0.69884,0.57915,0.44862,0.43034,0.64334,0.38863,0.30153,
15 to 19,0.70231,0.75811,1.32565,6.32628,2.52202,0.85848,0.41793,0.71165,0.73869,0.84581,0.64236,0.55953,0.40275,0.34814,0.30509,0.22359,
20 to 24,1.07932,0.45893,0.66686,1.91509,3.90405,2.13805,1.05146,0.69517,0.78989,0.69809,0.68332,0.56052,0.45267,0.35502,0.07917,0.07105,
25 to 29,1.57066,1.06969,0.6084,1.01555,2.20937,3.09443,1.87769,1.38856,1.17213,0.92869,1.06144,0.93276,0.76022,0.61405,0.1554,0.06451,
30 to 34,1.73215,1.35218,0.82359,0.72692,1.42531,2.08031,2.32516,1.69688,1.54915,1.14074,1.10854,1.11949,0.86128,0.71607,0.1296,0.08772,
35 to 39,1.50963,1.40655,1.06894,0.97999,1.18554,1.64061,1.94586,2.23133,1.70194,1.3386,1.11923,0.97071,0.97808,0.5263,0.22122,0.13077,
40 to 44,1.0332,1.21451,1.19567,1.08226,1.02661,1.36104,1.53863,1.98003,2.01063,1.371,1.49796,1.14425,0.95229,0.64122,0.2182,0.12175,
45 to 49,0.71512,0.6272,0.77576,0.98811,1.12141,1.1515,1.23668,1.36225,1.57683,1.40421,1.54509,1.0023,0.90929,0.47062,0.18316,0.13262,
50 to 54,0.8602,0.4911,0.50464,0.55819,0.80365,1.07612,0.99056,1.05278,1.18953,1.0454,1.28101,1.0923,0.83607,0.59606,0.17885,0.1481,
55 to 59,0.78523,0.53677,0.32528,0.28619,0.51874,0.62344,0.75397,0.62682,0.51619,0.59887,0.8489,0.83308,0.81008,0.47759,0.12685,0.08486,
60 to 64,0.57766,0.51949,0.25834,0.20668,0.27781,0.36129,0.42684,0.42684,0.39045,0.29636,0.36978,0.47011,0.41809,0.38923,0.1841,0.05589,
65 to 69,0.45675,0.35684,0.25866,0.15957,0.13754,0.16979,0.21233,0.24842,0.1966,0.15376,0.12589,0.17426,0.23638,0.20217,0.14233,0.08155,
70 to 74,0.30555,0.18496,0.19545,0.08786,0.11684,0.05758,0.07571,0.11543,0.08794,0.06747,0.05407,0.05278,0.09613,0.1004,0.12361,0.05902,
75+,0.15357,0.1368,0.16122,0.05815,0.09453,0.0339,0.06738,0.04606,0.04122,0.05782,0.04213,0.03682,0.0385,0.04798,0.06994,0.03391,
