Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.2588,1.52269,0.85881,0.43533,0.54955,1.09011,1.08127,0.91596,0.55443,0.40091,0.41066,0.71773,0.75613,0.62115,0.3079,0.28995,
5 to 9,1.80523,5.17111,2.83479,0.86653,0.40974,0.53898,1.20693,1.23422,0.85855,0.71752,0.42199,0.76833,0.75203,0.93329,0.84519,0.39031,
10 to 14,1.05308,2.04372,7.8521,2.7644,0.45109,0.27191,0.82062,0.93375,0.82523,0.72594,0.51499,0.45182,0.44803,0.70108,0.60202,0.49658,
15 to 19,0.65069,0.74222,1.53077,7.20584,2.37664,0.94425,0.49199,0.77495,0.75195,1.00307,0.69005,0.65157,0.45402,0.40227,0.4829,0.37458,
20 to 24,1.01141,0.44373,0.74878,2.13279,3.76112,2.29105,1.2065,0.75232,0.86188,0.82389,0.73586,0.65264,0.53654,0.40557,0.12818,0.12131,
25 to 29,1.46969,1.05002,0.67758,1.1152,2.18076,3.23898,2.03713,1.39836,1.19994,1.00739,1.10181,1.02665,0.84181,0.63577,0.25671,0.10797,
30 to 34,1.61334,1.34392,0.93881,0.82149,1.44843,2.15711,2.53446,1.69079,1.55327,1.21872,1.14488,1.2162,0.94726,0.76017,0.21701,0.1541,
35 to 39,1.39675,1.38449,1.22796,1.07692,1.25074,1.69671,2.07996,2.22502,1.68895,1.40901,1.13707,1.02459,1.05042,0.58512,0.37312,0.23177,
40 to 44,0.94987,1.18883,1.36879,1.207,1.07342,1.42571,1.64281,1.98579,2.03221,1.46005,1.53603,1.2103,1.01582,0.66648,0.3669,0.21819,
45 to 49,0.65183,0.60652,0.87816,1.08838,1.13319,1.19272,1.31153,1.3564,1.58305,1.496,1.56998,1.04547,0.95352,0.46255,0.29271,0.22669,
50 to 54,0.78913,0.47181,0.56702,0.62198,0.83071,1.1252,1.05775,1.04991,1.19601,1.10709,1.31026,1.15152,0.87959,0.5827,0.27365,0.24818,
55 to 59,0.72077,0.51783,0.36304,0.31835,0.52434,0.65373,0.8133,0.61916,0.51954,0.63047,0.85817,0.896,0.86639,0.48674,0.1933,0.14074,
60 to 64,0.52972,0.50139,0.28892,0.22347,0.29248,0.38111,0.46351,0.4138,0.38229,0.31461,0.37044,0.50515,0.46141,0.40767,0.29653,0.09584,
65 to 69,0.41503,0.34304,0.28896,0.16548,0.12755,0.16405,0.21667,0.22826,0.17627,0.15252,0.11486,0.17771,0.24767,0.22992,0.23404,0.13973,
70 to 74,0.27676,0.1783,0.2196,0.08855,0.10272,0.05717,0.08251,0.10759,0.07943,0.0759,0.05072,0.05806,0.10832,0.1197,0.20995,0.10545,
75+,0.13969,0.13177,0.18066,0.05884,0.08316,0.0339,0.07297,0.04292,0.03761,0.06551,0.0402,0.04049,0.04358,0.05737,0.11388,0.06258,
