Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.90727,1.25859,0.48319,0.26583,0.46492,0.8092,0.71016,0.6227,0.41073,0.1981,0.27637,0.39475,0.43432,0.2121,0.12311,0.11319,
5 to 9,1.45237,8.34139,2.76183,0.64157,0.34553,0.39992,0.90287,0.98146,0.71521,0.39473,0.32684,0.40957,0.44794,0.33352,0.32817,0.17114,
10 to 14,0.78176,1.73586,9.89455,3.27553,0.45279,0.19205,0.63372,0.87479,0.91109,0.55041,0.49408,0.29954,0.28323,0.28838,0.3024,0.27383,
15 to 19,0.49325,0.57277,1.2496,8.04456,2.60417,0.68726,0.30099,0.50442,0.77725,0.86984,0.66183,0.45125,0.31799,0.17273,0.25501,0.27943,
20 to 24,0.82275,0.34341,0.55233,1.62974,3.85054,2.04691,0.91198,0.58156,0.75206,0.77888,0.82655,0.62052,0.4285,0.24621,0.09018,0.08962,
25 to 29,1.16089,0.82313,0.45617,0.79322,2.05561,2.90698,1.65384,1.1533,0.9993,0.83408,1.12947,1.03536,0.73892,0.42826,0.18931,0.08225,
30 to 34,1.23557,1.1153,0.69697,0.53955,1.2639,1.87795,2.13078,1.53071,1.35583,0.99049,1.02302,1.15809,0.9209,0.64678,0.21324,0.14134,
35 to 39,1.04825,1.1118,0.9491,0.79761,1.01667,1.39995,1.72723,2.06628,1.58863,1.16237,0.97235,0.87655,0.99834,0.60637,0.46699,0.25742,
40 to 44,0.72468,0.95086,1.03986,0.95205,0.93548,1.15653,1.28847,1.75159,1.95974,1.30067,1.33311,1.00421,0.81231,0.60123,0.47905,0.32948,
45 to 49,0.48934,0.49407,0.6849,0.89242,1.12037,1.03871,1.0409,1.16324,1.4716,1.42287,1.48032,0.87178,0.72037,0.34312,0.36299,0.34465,
50 to 54,0.589,0.37432,0.43436,0.49667,0.78693,1.04143,0.8949,0.87461,1.04214,1.02569,1.29487,1.05878,0.65153,0.36379,0.19578,0.28521,
55 to 59,0.55253,0.41364,0.27317,0.24447,0.52409,0.61485,0.72245,0.56103,0.45259,0.5313,0.84547,0.92368,0.79453,0.36071,0.14845,0.101,
60 to 64,0.3958,0.40821,0.21695,0.16942,0.24045,0.31698,0.414,0.45009,0.35745,0.262,0.35009,0.51829,0.54318,0.38791,0.2581,0.07626,
65 to 69,0.29445,0.26586,0.21116,0.1283,0.11888,0.13874,0.1903,0.26232,0.21275,0.13736,0.12849,0.1801,0.31143,0.31234,0.2721,0.13005,
70 to 74,0.19536,0.1377,0.16085,0.07784,0.11545,0.06038,0.0839,0.14148,0.12611,0.10269,0.08075,0.08107,0.15232,0.15263,0.28716,0.15491,
75+,0.09669,0.10079,0.13043,0.05311,0.09403,0.03443,0.07153,0.05266,0.05831,0.08929,0.06893,0.0505,0.06412,0.06811,0.15012,0.11107,
