Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.88241,0.95117,0.2234,0.14741,0.25921,0.65683,0.70811,0.579,0.44315,0.34823,0.53417,1.17699,1.259,0.96123,0.43463,0.59247,
5 to 9,0.95664,8.38986,2.25996,0.34524,0.21333,0.30689,0.81667,0.84694,0.74732,0.63394,0.57751,1.21042,1.1713,1.36373,1.15191,0.75632,
10 to 14,0.44096,1.23508,11.64683,3.61119,0.24651,0.16491,0.58642,0.71887,0.92108,0.76626,0.77192,0.78062,0.72097,1.05965,0.89681,1.02994,
15 to 19,0.29371,0.34298,0.79575,10.87397,2.47018,0.51812,0.28622,0.41145,0.76695,1.13281,0.91273,0.96056,0.7383,0.57157,0.78274,0.83365,
20 to 24,0.43545,0.2248,0.2697,0.89102,3.29315,1.85417,0.9514,0.6157,0.82991,0.98686,1.14102,1.11154,0.7797,0.59578,0.26076,0.32237,
25 to 29,0.69935,0.48332,0.21933,0.38601,1.4764,3.44812,1.91122,1.40393,1.31942,1.21025,1.63828,1.8843,1.30722,0.78817,0.52,0.3166,
30 to 34,0.82865,0.77816,0.35138,0.28033,0.97862,2.01364,2.82302,1.71159,1.70365,1.41164,1.48779,2.06432,1.51076,1.14107,0.47173,0.50272,
35 to 39,0.7065,0.80719,0.53673,0.45087,0.87945,1.60721,2.02452,2.60105,1.91456,1.64202,1.43119,1.56066,1.57993,1.14765,0.86099,0.67624,
40 to 44,0.42539,0.64957,0.61944,0.57867,0.77691,1.36091,1.56199,2.02033,2.59723,1.75427,1.89643,1.69849,1.36295,1.03119,0.88465,0.68631,
45 to 49,0.27244,0.30096,0.35542,0.53684,0.88458,1.1593,1.26832,1.37631,1.76777,2.19955,2.06259,1.48624,1.17893,0.59062,0.69225,0.74128,
50 to 54,0.32947,0.21447,0.20207,0.26627,0.63856,1.13702,1.02227,1.06812,1.3097,1.38508,2.05267,1.8597,1.14531,0.66449,0.5205,0.72799,
55 to 59,0.28624,0.22959,0.12221,0.12065,0.37008,0.64573,0.79413,0.62767,0.57286,0.73789,1.19813,2.01781,1.33969,0.74142,0.41375,0.44402,
60 to 64,0.21446,0.21362,0.09266,0.07929,0.18011,0.32873,0.40907,0.38563,0.39329,0.35455,0.50301,0.95248,1.24253,0.77879,0.71852,0.3475,
65 to 69,0.15819,0.14522,0.09244,0.05939,0.0579,0.09233,0.14166,0.18392,0.16691,0.14669,0.16522,0.36859,0.57656,0.9666,0.65206,0.49776,
70 to 74,0.10681,0.07665,0.07308,0.03748,0.06317,0.04762,0.07304,0.11001,0.11469,0.1312,0.12018,0.18796,0.34996,0.38293,0.80028,0.44214,
75+,0.05898,0.06085,0.0613,0.02758,0.05438,0.03289,0.06701,0.04368,0.05462,0.12057,0.10982,0.13477,0.14603,0.18824,0.30083,0.37845,
