Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.48797,1.65597,0.8547,0.50294,0.63736,1.13543,0.8984,0.98562,0.68845,0.40426,0.53857,0.88115,0.77793,0.52518,0.2225,0.30663,
5 to 9,1.96648,8.552,3.2643,0.97163,0.43162,0.5437,1.01871,1.30129,1.05664,0.7265,0.56651,0.97731,0.7655,0.80184,0.60442,0.43521,
10 to 14,1.14903,2.29386,9.83312,2.95919,0.46818,0.24983,0.68113,0.98216,0.98981,0.7142,0.68185,0.57193,0.45321,0.64387,0.46985,0.59415,
15 to 19,0.70654,0.77556,1.38235,6.96518,2.4454,0.75757,0.36816,0.68189,0.76412,0.85347,0.7082,0.65056,0.41711,0.35466,0.37472,0.45132,
20 to 24,1.02431,0.44217,0.66484,1.95961,3.82971,2.00164,0.94389,0.63314,0.75498,0.62472,0.63647,0.50964,0.39122,0.2872,0.06662,0.10323,
25 to 29,1.49201,1.0309,0.61262,1.01884,2.14797,2.94011,1.72845,1.29379,1.12627,0.86255,0.97957,0.85451,0.65281,0.47128,0.11909,0.075,
30 to 34,1.61197,1.23292,0.8067,0.74359,1.41229,1.9859,2.14266,1.56017,1.4679,1.07951,1.04057,0.98675,0.72267,0.52645,0.0798,0.08822,
35 to 39,1.43915,1.32358,1.02802,0.98727,1.18696,1.59126,1.80657,2.05358,1.61641,1.26382,1.05983,0.88757,0.82782,0.34638,0.13301,0.15216,
40 to 44,1.01546,1.16538,1.15686,1.05938,1.00266,1.3324,1.45105,1.84852,1.90272,1.30414,1.44256,1.06552,0.84531,0.43711,0.17144,0.14452,
45 to 49,0.72211,0.606,0.76037,0.93818,1.03003,1.07905,1.1607,1.25953,1.488,1.28521,1.46693,0.90452,0.80949,0.34687,0.14024,0.15299,
50 to 54,0.86345,0.48296,0.50775,0.51632,0.73173,0.96822,0.898,0.9602,1.11952,0.96371,1.20151,1.02138,0.74499,0.43411,0.15707,0.16475,
55 to 59,0.78771,0.53111,0.3359,0.27147,0.46566,0.55104,0.65617,0.5468,0.47305,0.53317,0.78749,0.72679,0.70517,0.36253,0.09339,0.09817,
60 to 64,0.58016,0.51649,0.26125,0.1977,0.25833,0.31777,0.35888,0.34446,0.33776,0.25792,0.33548,0.41796,0.34732,0.29088,0.14487,0.05268,
65 to 69,0.47804,0.36913,0.26867,0.16129,0.129,0.14376,0.17622,0.19364,0.15018,0.12336,0.10501,0.15351,0.19088,0.15599,0.11811,0.10704,
70 to 74,0.32635,0.19096,0.20329,0.09146,0.11558,0.05254,0.06081,0.08939,0.07254,0.05532,0.04907,0.04297,0.07402,0.07455,0.09416,0.07429,
75+,0.16181,0.14408,0.17272,0.06087,0.09423,0.02945,0.0574,0.0372,0.03358,0.04697,0.03572,0.03233,0.02889,0.03445,0.06589,0.03746,
