Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.56895,1.71848,0.79141,0.45367,0.70992,1.30055,1.19663,1.01601,0.61325,0.30122,0.70275,1.08419,1.17342,0.85607,0.3275,0.57671,
5 to 9,2.11931,6.67786,2.72062,0.93983,0.51978,0.59229,1.32725,1.54971,1.12042,0.57578,0.53778,0.81542,0.81207,1.04547,0.73271,0.67205,
10 to 14,1.11862,2.07968,6.23481,2.75197,0.6124,0.29952,0.82301,1.18182,1.2333,0.72934,0.7164,0.43442,0.3973,0.63475,0.46444,0.8546,
15 to 19,0.76019,0.8939,1.5813,6.53992,2.91927,0.99418,0.44051,0.77697,1.04728,1.12782,1.12508,0.7891,0.53135,0.40119,0.44539,0.8282,
20 to 24,1.17081,0.48809,0.72626,2.00077,4.11845,2.39304,1.06844,0.6183,0.79852,0.82023,1.25692,0.93058,0.58629,0.48129,0.14425,0.30135,
25 to 29,1.66439,1.13007,0.6201,1.03607,2.39456,2.92585,1.86254,1.12804,0.89769,0.74249,1.31712,1.38438,0.92777,0.66712,0.37452,0.24698,
30 to 34,1.63687,1.33917,0.80742,0.6555,1.31239,1.89963,1.97359,1.43985,1.20557,0.78654,0.95359,1.25766,1.01044,0.92199,0.2969,0.32794,
35 to 39,1.3519,1.35355,1.08381,0.94835,0.98945,1.31578,1.64984,1.80669,1.38899,0.95984,0.82301,0.8188,0.9347,0.89165,0.57158,0.74453,
40 to 44,0.8506,1.04907,1.09477,0.99854,0.89629,1.01308,1.14951,1.48408,1.48815,0.98134,1.04604,0.78175,0.64892,0.64587,0.44251,0.48706,
45 to 49,0.58268,0.52161,0.69563,0.90113,1.00294,0.90567,0.87826,0.9534,1.12038,0.98635,1.10098,0.66632,0.49975,0.29608,0.30148,0.44381,
50 to 54,0.78403,0.43472,0.46798,0.58124,0.80889,1.0024,0.82887,0.75052,0.83127,0.79153,0.95567,0.89278,0.51438,0.33133,0.20289,0.49368,
55 to 59,0.77573,0.50916,0.30054,0.29119,0.5525,0.61207,0.70568,0.521,0.36222,0.40414,0.72124,0.6794,0.58916,0.33249,0.14579,0.15936,
60 to 64,0.54785,0.46983,0.23143,0.19463,0.23838,0.30921,0.40914,0.42507,0.31405,0.19948,0.28112,0.40645,0.32956,0.31385,0.25095,0.10719,
65 to 69,0.41945,0.3318,0.24177,0.14857,0.1273,0.14989,0.1947,0.2682,0.20971,0.11739,0.11182,0.16755,0.2528,0.20276,0.21678,0.16927,
70 to 74,0.26042,0.16163,0.1751,0.08535,0.12253,0.06401,0.09158,0.14165,0.11585,0.08792,0.07175,0.06947,0.12837,0.12183,0.17791,0.14099,
75+,0.13117,0.117,0.14237,0.05703,0.09955,0.03807,0.07522,0.05494,0.05302,0.07618,0.06503,0.04513,0.05138,0.05322,0.1001,0.0628,
