Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.73184,1.06595,0.40746,0.27275,0.45564,0.78017,0.78933,0.79993,0.60432,0.36629,0.58891,1.05671,1.12615,0.71345,0.34975,0.28112,
5 to 9,1.09553,8.56026,2.68553,0.59323,0.3397,0.37721,0.92741,1.15211,0.99857,0.67345,0.62969,1.09164,1.05555,1.01316,0.93212,0.37041,
10 to 14,0.55771,1.44262,11.43455,3.13653,0.42209,0.19772,0.67335,0.9836,1.15646,0.78431,0.84011,0.70147,0.64728,0.7936,0.71766,0.50943,
15 to 19,0.34703,0.42185,0.98555,7.26615,2.32482,0.66712,0.34663,0.62071,0.93631,1.08476,0.96695,0.86678,0.64845,0.42395,0.60572,0.41077,
20 to 24,0.5455,0.24845,0.41649,1.5054,3.96668,2.04709,1.05779,0.74904,0.98098,0.9643,1.14885,0.98342,0.68797,0.45613,0.18607,0.14856,
25 to 29,0.8224,0.61574,0.36899,0.75367,2.15198,3.10775,1.86139,1.42573,1.28082,1.06151,1.47201,1.51492,1.05801,0.61178,0.38732,0.14071,
30 to 34,0.92845,0.87319,0.55978,0.54013,1.39134,1.98282,2.49756,1.79678,1.70421,1.25235,1.34297,1.64638,1.21532,0.86888,0.3576,0.22198,
35 to 39,0.7915,0.88269,0.77855,0.7788,1.1802,1.54369,1.93524,2.49462,1.91124,1.45574,1.27307,1.24086,1.25153,0.80387,0.62201,0.32919,
40 to 44,0.51919,0.75137,0.88124,0.94047,1.05058,1.28793,1.48749,2.04133,2.37826,1.5385,1.67936,1.34767,1.05876,0.75901,0.64067,0.32841,
45 to 49,0.34424,0.36854,0.54128,0.86194,1.18913,1.08879,1.18414,1.35517,1.69646,1.69476,1.79703,1.1804,0.89902,0.42619,0.4847,0.32942,
50 to 54,0.41413,0.27221,0.32942,0.46521,0.85273,1.05875,0.97053,1.03926,1.23806,1.19747,1.61321,1.44913,0.88341,0.49269,0.37297,0.32404,
55 to 59,0.3772,0.29448,0.20457,0.21977,0.51913,0.60387,0.74512,0.63115,0.53153,0.62533,1.03841,1.2886,0.99788,0.51246,0.27902,0.18655,
60 to 64,0.27678,0.28242,0.15922,0.14901,0.24337,0.30419,0.38933,0.43595,0.39437,0.30161,0.43795,0.70673,0.73979,0.49844,0.48014,0.1412,
65 to 69,0.21162,0.19226,0.15901,0.11166,0.10539,0.1134,0.1634,0.24256,0.20848,0.14372,0.16115,0.28689,0.42743,0.45968,0.41795,0.20619,
70 to 74,0.14035,0.10159,0.12442,0.06898,0.10742,0.05276,0.07912,0.14037,0.13527,0.11743,0.11232,0.13659,0.25234,0.23381,0.4284,0.1831,
75+,0.07227,0.0755,0.10164,0.04737,0.08817,0.0325,0.06939,0.05589,0.06388,0.10322,0.09398,0.09378,0.10228,0.11017,0.20182,0.12653,
