Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.47262,1.5505,0.73122,0.37857,0.53579,1.01397,0.97537,0.84907,0.6218,0.35024,0.55479,0.78905,0.79945,0.50434,0.22194,0.16266,
5 to 9,1.90107,7.48148,2.92615,0.77671,0.40024,0.49446,1.12151,1.20755,1.0074,0.62711,0.54138,0.78621,0.72533,0.69304,0.56793,0.20867,
10 to 14,1.08529,2.08357,8.99329,2.94651,0.46823,0.25594,0.78668,0.98632,1.06718,0.68964,0.68504,0.47577,0.42429,0.51153,0.40375,0.26697,
15 to 19,0.68965,0.7494,1.45985,7.40737,2.41307,0.83934,0.42502,0.70839,0.90442,0.98791,0.85621,0.67595,0.46743,0.3364,0.35556,0.22846,
20 to 24,1.07465,0.43686,0.68137,1.85691,3.8018,2.13966,1.05866,0.67079,0.85849,0.81032,0.91099,0.69611,0.52998,0.38698,0.10034,0.0776,
25 to 29,1.54768,1.04339,0.60514,0.94965,2.08958,3.00504,1.80916,1.23187,1.09375,0.89197,1.16571,1.06713,0.82412,0.64062,0.20627,0.07163,
30 to 34,1.67525,1.35555,0.85955,0.67677,1.32272,1.93376,2.25511,1.52979,1.43076,1.03263,1.0767,1.16982,0.91749,0.74831,0.17432,0.09891,
35 to 39,1.42806,1.37102,1.14083,0.93919,1.10798,1.47581,1.81576,2.04984,1.6101,1.21211,1.03615,0.93463,0.99417,0.55202,0.30464,0.15551,
40 to 44,0.96733,1.17799,1.27332,1.07499,0.98586,1.22575,1.38965,1.76251,1.94749,1.28322,1.38775,1.0657,0.91501,0.6493,0.29315,0.14419,
45 to 49,0.65896,0.5943,0.80443,0.97745,1.10253,1.06709,1.11548,1.19273,1.47584,1.36085,1.47798,0.9382,0.84553,0.45399,0.22784,0.13703,
50 to 54,0.79903,0.45355,0.50843,0.54589,0.79051,1.02583,0.93008,0.91242,1.07871,0.99322,1.25103,1.06605,0.77491,0.54682,0.18587,0.13796,
55 to 59,0.73555,0.49932,0.32393,0.27459,0.50703,0.60617,0.73659,0.57011,0.47924,0.55407,0.8542,0.87658,0.81644,0.45853,0.13473,0.07545,
60 to 64,0.53709,0.48041,0.25544,0.19386,0.2716,0.35043,0.43065,0.41532,0.38923,0.28752,0.38471,0.51226,0.47869,0.41108,0.21869,0.0541,
65 to 69,0.4163,0.32771,0.25643,0.15132,0.13517,0.17213,0.22169,0.25049,0.21974,0.16327,0.14766,0.20041,0.28502,0.24139,0.18245,0.08087,
70 to 74,0.27491,0.17064,0.19584,0.08227,0.10816,0.05764,0.08302,0.11905,0.1061,0.08202,0.0729,0.06805,0.12068,0.10915,0.16865,0.06759,
75+,0.13927,0.12551,0.16031,0.05478,0.08758,0.03452,0.07247,0.04728,0.05053,0.071,0.05943,0.04664,0.04851,0.05026,0.08972,0.04208,
