Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.11739,0.93836,0.23475,0.1513,0.26372,0.6137,0.82633,0.87881,0.5726,0.31505,0.43912,0.87411,1.27893,1.01841,0.69026,0.54779,
5 to 9,0.98767,8.9663,2.34061,0.35299,0.23456,0.29769,0.85532,1.17852,0.98463,0.58993,0.51381,0.91723,1.16733,1.42036,1.8036,0.69873,
10 to 14,0.40154,1.10635,10.98283,3.12618,0.27745,0.16392,0.57771,0.89407,1.11294,0.69418,0.68815,0.59584,0.70637,1.07609,1.38331,0.94013,
15 to 19,0.25733,0.27544,0.74453,8.6371,2.09823,0.62615,0.34056,0.56221,0.85632,1.05143,0.8552,0.76952,0.71579,0.57684,1.20851,0.75187,
20 to 24,0.33582,0.17871,0.2642,1.00701,3.41309,2.03629,1.07719,0.75726,0.96025,0.92461,1.01261,0.90113,0.74278,0.61315,0.41018,0.28959,
25 to 29,0.52728,0.35964,0.21825,0.49413,1.75613,3.58322,1.99085,1.53152,1.38089,1.09567,1.39397,1.46497,1.15418,0.79209,0.80739,0.28727,
30 to 34,0.73594,0.5622,0.31828,0.36238,1.1496,2.04317,2.93815,1.84928,1.73124,1.24965,1.24553,1.55146,1.34734,1.21661,0.7629,0.46405,
35 to 39,0.72303,0.66743,0.4989,0.48611,1.02019,1.59523,2.01267,2.90223,1.94321,1.43218,1.19246,1.16924,1.3222,1.17063,1.28925,0.63344,
40 to 44,0.4711,0.65358,0.67803,0.63489,0.88383,1.35571,1.53625,2.12265,2.69319,1.53144,1.58389,1.29316,1.06792,1.03591,1.36606,0.64298,
45 to 49,0.25296,0.28411,0.3958,0.65716,1.04104,1.1253,1.19756,1.36513,1.70902,1.86476,1.67109,1.11805,0.8727,0.56855,1.03405,0.67215,
50 to 54,0.28531,0.18308,0.23178,0.36532,0.76821,1.1326,0.9684,1.02165,1.21804,1.16264,1.62294,1.35807,0.87719,0.64873,0.83107,0.66771,
55 to 59,0.2531,0.18264,0.12826,0.14972,0.437,0.66708,0.76027,0.61121,0.51319,0.59147,0.92246,1.40872,1.08003,0.75982,0.65206,0.41391,
60 to 64,0.19092,0.17391,0.0941,0.08382,0.16784,0.27803,0.38467,0.41288,0.33997,0.25705,0.34991,0.63465,1.18083,0.77383,1.17431,0.32431,
65 to 69,0.14787,0.1211,0.09356,0.06061,0.06478,0.09213,0.15505,0.23547,0.18761,0.12327,0.13398,0.27343,0.5652,1.01828,1.03162,0.45683,
70 to 74,0.0975,0.06311,0.07544,0.03856,0.0736,0.04902,0.08271,0.14288,0.13506,0.11488,0.10048,0.13824,0.35512,0.39752,1.25192,0.41019,
75+,0.05346,0.05031,0.06463,0.02816,0.06132,0.03486,0.07598,0.05959,0.06675,0.10575,0.08997,0.1019,0.14877,0.19333,0.49383,0.33946,
