Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.57288,0.91218,0.29634,0.16077,0.27037,0.65885,0.90646,0.95011,0.68277,0.40778,0.62376,1.22096,1.5592,1.19967,0.56711,0.49124,
5 to 9,0.85929,7.5976,2.19972,0.35843,0.20982,0.31784,1.02075,1.34884,1.1108,0.73322,0.64768,1.23491,1.45815,1.70389,1.51367,0.64067,
10 to 14,0.39997,1.14998,9.68068,3.05382,0.24888,0.16799,0.73858,1.13481,1.28621,0.85714,0.85052,0.77654,0.8931,1.33254,1.15299,0.87123,
15 to 19,0.26984,0.33782,0.83537,9.19167,1.68863,0.49267,0.33274,0.6067,0.97242,1.12027,0.954,0.92702,0.85734,0.69716,0.98872,0.69913,
20 to 24,0.38244,0.20204,0.31051,0.80095,2.45876,1.64349,1.00173,0.70667,0.92917,0.96241,1.10208,0.98745,0.74553,0.6892,0.3015,0.25152,
25 to 29,0.57609,0.46721,0.27034,0.37939,1.33785,2.76435,1.91894,1.47995,1.30921,1.08568,1.45495,1.54128,1.07755,0.83274,0.61014,0.23756,
30 to 34,0.66467,0.67439,0.408,0.26602,0.88979,1.7411,2.662,1.90616,1.76997,1.27536,1.31645,1.6267,1.24954,1.2469,0.55624,0.37435,
35 to 39,0.56645,0.69235,0.57521,0.40642,0.78611,1.38684,2.00625,2.74751,2.0114,1.51094,1.26104,1.19661,1.23253,1.2451,0.96989,0.53758,
40 to 44,0.36401,0.57983,0.66017,0.49824,0.69821,1.18709,1.54438,2.18645,2.60705,1.62665,1.69347,1.27843,0.95509,1.09546,1.00491,0.54255,
45 to 49,0.24121,0.28112,0.39946,0.46677,0.7731,0.98753,1.21726,1.43652,1.79626,1.84455,1.80642,1.13432,0.73772,0.58749,0.78064,0.55727,
50 to 54,0.29036,0.20922,0.24161,0.24561,0.55193,0.94587,1.00459,1.0776,1.28076,1.25074,1.64,1.42153,0.79019,0.66627,0.60637,0.55909,
55 to 59,0.26055,0.22414,0.14905,0.1124,0.30682,0.48918,0.72264,0.62202,0.49456,0.57948,0.94972,1.28722,0.96579,0.75326,0.45391,0.32379,
60 to 64,0.19121,0.21353,0.11549,0.07564,0.10743,0.17683,0.3232,0.42588,0.32628,0.2429,0.34531,0.65552,0.93817,0.76852,0.78608,0.24453,
65 to 69,0.14536,0.14515,0.11547,0.05975,0.05539,0.07934,0.16088,0.26613,0.21254,0.13866,0.15424,0.31276,0.56929,0.81607,0.68414,0.35559,
70 to 74,0.09688,0.07642,0.08999,0.03808,0.06295,0.04463,0.08915,0.16488,0.15129,0.13175,0.11796,0.15808,0.35348,0.39356,0.72836,0.31339,
75+,0.05041,0.0576,0.07403,0.02628,0.05197,0.02804,0.07931,0.0655,0.07136,0.11611,0.10023,0.10948,0.14286,0.1876,0.32671,0.22627,
