Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.25916,1.03653,0.2536,0.15438,0.27077,0.56484,0.8232,0.76704,0.39456,0.25365,0.36401,0.52691,0.64505,0.4746,0.30594,0.27769,
5 to 9,1.08174,9.32435,2.59103,0.3883,0.23638,0.24213,0.72604,1.04824,0.76869,0.50766,0.46837,0.60488,0.59573,0.67366,0.79973,0.35522,
10 to 14,0.40412,1.25718,12.76084,3.97178,0.28088,0.13036,0.47481,0.72515,0.99655,0.67808,0.64861,0.43182,0.39065,0.51291,0.63311,0.47346,
15 to 19,0.26315,0.29226,0.99535,12.18724,3.14479,0.59778,0.33367,0.51581,0.79841,1.16917,0.92834,0.64351,0.47561,0.31331,0.61054,0.38166,
20 to 24,0.36336,0.21077,0.3249,1.30853,4.59803,1.89307,0.97526,0.69187,0.85708,0.91792,1.05891,0.75551,0.5983,0.36389,0.24567,0.17338,
25 to 29,0.60033,0.38775,0.25392,0.5847,1.76666,3.51527,1.78153,1.38097,1.23098,1.05122,1.43346,1.27364,1.00121,0.52666,0.43724,0.18641,
30 to 34,0.95446,0.69154,0.3938,0.45797,1.17579,1.92817,2.98216,1.75841,1.64234,1.31593,1.34845,1.47642,1.15994,0.74005,0.43169,0.31398,
35 to 39,0.95388,0.96384,0.69265,0.63494,1.04829,1.51579,1.97216,3.06359,1.89136,1.53255,1.34748,1.21555,1.25883,0.68605,0.73146,0.3725,
40 to 44,0.49019,0.81639,0.98923,0.87738,0.94334,1.26898,1.4949,2.07905,2.82424,1.66832,1.76902,1.39025,1.16746,0.70322,0.82924,0.38613,
45 to 49,0.28481,0.35522,0.56885,0.92458,1.20148,1.07501,1.21275,1.39108,1.74897,2.28211,1.9707,1.19727,1.06382,0.43966,0.63389,0.4321,
50 to 54,0.32945,0.20694,0.27615,0.46696,0.85527,1.08435,0.96634,1.06109,1.24887,1.30174,2.11681,1.45917,0.99939,0.5011,0.51429,0.41439,
55 to 59,0.26601,0.19466,0.15272,0.1919,0.46631,0.61563,0.74845,0.63294,0.54898,0.68726,1.1292,1.70245,1.18789,0.56932,0.43666,0.28884,
60 to 64,0.20383,0.19183,0.11979,0.11835,0.22543,0.31837,0.39851,0.41175,0.39332,0.34193,0.49943,0.744,1.29502,0.62172,0.82239,0.24309,
65 to 69,0.15678,0.13466,0.1122,0.07864,0.074,0.08852,0.13876,0.20144,0.16503,0.13559,0.16313,0.25109,0.46282,1.0036,0.77274,0.3442,
70 to 74,0.10741,0.07086,0.08837,0.04611,0.08267,0.04653,0.06944,0.12273,0.1173,0.11878,0.11693,0.12821,0.28514,0.316,1.14634,0.33232,
75+,0.05547,0.0557,0.07658,0.03219,0.06657,0.03029,0.06523,0.04972,0.05384,0.10208,0.09445,0.08903,0.119,0.15001,0.37278,0.34154,
