Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.50897,0.78394,0.29534,0.17178,0.28326,0.56294,0.75239,0.65723,0.62574,0.39482,0.67955,0.80991,1.35046,1.11932,0.58972,0.47586,
5 to 9,0.81876,6.35095,2.04518,0.38043,0.21986,0.26704,0.85504,0.94235,1.01501,0.70131,0.66884,0.81414,1.2495,1.58108,1.56571,0.61287,
10 to 14,0.40335,1.01524,9.37121,2.95243,0.2626,0.14291,0.63128,0.81467,1.22936,0.85327,0.89338,0.52142,0.77396,1.24116,1.22061,0.8465,
15 to 19,0.26713,0.29563,0.83545,8.56285,2.02168,0.44847,0.29729,0.46672,0.96664,1.1819,1.05149,0.64733,0.75946,0.66585,1.05295,0.68305,
20 to 24,0.40463,0.18981,0.32446,0.94875,2.7923,1.46498,0.87063,0.5598,0.89133,1.00857,1.25556,0.72995,0.70772,0.6778,0.33684,0.2557,
25 to 29,0.62532,0.42944,0.2788,0.44504,1.35877,2.71803,1.79955,1.31958,1.34012,1.16455,1.65891,1.26333,1.10589,0.86399,0.68002,0.24733,
30 to 34,0.71074,0.65133,0.4416,0.31649,0.8682,1.66403,2.56833,1.64945,1.79102,1.33944,1.4322,1.38916,1.29529,1.27308,0.61501,0.39334,
35 to 39,0.59795,0.65191,0.63136,0.49275,0.75214,1.3548,1.90105,2.45864,2.05654,1.59879,1.36309,1.06833,1.3163,1.298,1.11674,0.55554,
40 to 44,0.37088,0.51829,0.69333,0.61691,0.68986,1.16822,1.47526,1.96353,2.73971,1.72714,1.82449,1.18438,1.05905,1.13875,1.15802,0.56031,
45 to 49,0.24708,0.25075,0.41498,0.57083,0.80732,0.97748,1.17956,1.31754,1.8524,2.07548,1.99327,1.02879,0.8538,0.63317,0.89429,0.59238,
50 to 54,0.30248,0.18505,0.24485,0.29093,0.56193,0.92387,0.94597,0.9781,1.30039,1.33058,1.89932,1.23371,0.86416,0.70892,0.67427,0.58058,
55 to 59,0.26895,0.20436,0.15187,0.1318,0.31653,0.48719,0.69698,0.55112,0.52346,0.63507,1.0933,1.17256,1.03561,0.79593,0.51511,0.34276,
60 to 64,0.1982,0.19165,0.11857,0.08827,0.12654,0.20279,0.33142,0.35469,0.3725,0.29495,0.44782,0.54744,1.01534,0.82433,0.90382,0.26355,
65 to 69,0.14645,0.12903,0.11816,0.06885,0.06031,0.07641,0.14759,0.20418,0.22077,0.15808,0.19101,0.23561,0.56056,0.92411,0.7934,0.37893,
70 to 74,0.09802,0.06842,0.09387,0.04379,0.06765,0.03995,0.07828,0.12352,0.15652,0.14602,0.14321,0.11905,0.34827,0.41476,0.90351,0.34082,
75+,0.05311,0.05301,0.07756,0.03162,0.05739,0.02678,0.07084,0.04927,0.07429,0.1336,0.12887,0.08509,0.14291,0.20138,0.37824,0.26559,
