Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.98279,0.84832,0.19417,0.11793,0.205,0.60361,0.76459,0.64178,0.29308,0.1771,0.27947,0.45647,0.46479,0.29318,0.17657,0.2289,
5 to 9,0.93647,7.50919,1.99052,0.31073,0.18163,0.21345,0.73678,0.98267,0.58759,0.32633,0.36548,0.46696,0.4169,0.41594,0.45255,0.27965,
10 to 14,0.36244,0.97911,10.11202,3.2708,0.24237,0.11328,0.42201,0.7655,0.92398,0.52052,0.51696,0.34589,0.27808,0.32548,0.39496,0.38107,
15 to 19,0.22841,0.24099,0.80676,10.59228,2.51337,0.5789,0.30627,0.53441,0.81574,1.14253,0.89457,0.58327,0.32952,0.20836,0.44943,0.29797,
20 to 24,0.31909,0.16016,0.25606,1.16552,3.93162,1.86722,0.97913,0.71231,0.87099,0.99808,1.21609,0.84682,0.46847,0.27281,0.18802,0.16815,
25 to 29,0.64314,0.32283,0.1944,0.5233,1.64297,3.67154,1.81593,1.4267,1.26998,1.05644,1.59856,1.37159,0.78638,0.413,0.32708,0.19791,
30 to 34,0.99109,0.72066,0.32096,0.40782,1.1232,1.96564,3.15651,1.82779,1.67243,1.34017,1.42764,1.56454,0.94921,0.58551,0.33374,0.35479,
35 to 39,0.80106,0.84274,0.62341,0.59078,1.02263,1.53828,1.99463,3.25923,1.92198,1.5524,1.42961,1.27493,0.99481,0.53159,0.57294,0.38913,
40 to 44,0.39691,0.61572,0.80746,0.84627,0.90867,1.31587,1.53072,2.16512,3.02034,1.70602,1.9129,1.47022,0.89598,0.53651,0.63011,0.42396,
45 to 49,0.24438,0.24079,0.4274,0.87035,1.24322,1.08883,1.24801,1.45297,1.81192,2.4752,2.13916,1.2587,0.77602,0.38168,0.51898,0.45023,
50 to 54,0.27499,0.15305,0.19834,0.38615,0.82214,1.14242,0.98234,1.10084,1.30089,1.31345,2.46861,1.59164,0.75533,0.42111,0.39132,0.47082,
55 to 59,0.24402,0.1527,0.11439,0.16174,0.44405,0.59525,0.72553,0.62707,0.53867,0.66896,1.18997,2.04199,0.94057,0.49599,0.36874,0.32819,
60 to 64,0.17623,0.15192,0.08781,0.08,0.14667,0.21713,0.30166,0.35419,0.29136,0.25371,0.42998,0.68433,1.42025,0.5529,0.73131,0.2955,
65 to 69,0.13728,0.10778,0.08745,0.0609,0.05976,0.07701,0.12659,0.19537,0.14394,0.12251,0.17385,0.28445,0.48054,1.02521,0.73412,0.41261,
70 to 74,0.09522,0.05691,0.06928,0.03969,0.06873,0.04505,0.06679,0.12523,0.11044,0.11367,0.12652,0.15609,0.31475,0.30956,1.07619,0.40332,
75+,0.04944,0.04402,0.05947,0.02575,0.05629,0.02708,0.06414,0.05122,0.05289,0.09478,0.11078,0.10346,0.13266,0.14502,0.33345,0.43397,
