Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.68602,1.88559,1.13065,0.74803,0.96594,1.53884,1.36107,1.36683,1.06015,0.62561,0.9284,1.2645,1.54244,1.0101,0.48382,0.33634,
5 to 9,2.49595,7.95976,3.37758,1.30975,0.79646,0.79757,1.45897,1.69432,1.44574,1.01541,0.82605,1.23058,1.31924,1.27858,1.1226,0.39178,
10 to 14,1.56847,2.47429,9.06473,3.48617,0.78977,0.45865,1.02378,1.22319,1.25233,0.94266,0.94382,0.66336,0.73818,0.91217,0.69637,0.47817,
15 to 19,0.99762,1.04007,1.6535,7.79135,2.94663,1.05791,0.52058,0.80759,0.93539,1.06368,0.95623,0.80051,0.71638,0.50595,0.5892,0.39569,
20 to 24,1.30923,0.58798,0.80506,2.03111,4.06134,2.15708,1.05819,0.67032,0.78869,0.78109,0.87095,0.68171,0.57205,0.46127,0.15075,0.12306,
25 to 29,1.75015,1.21654,0.73547,1.11449,2.26836,2.76113,1.75324,1.21989,1.06443,0.85922,1.1041,1.01998,0.83147,0.60454,0.31698,0.10575,
30 to 34,1.90287,1.44891,0.93433,0.77226,1.41336,1.94265,2.03347,1.55233,1.47314,1.03834,1.14182,1.18486,1.0155,0.83968,0.26174,0.16184,
35 to 39,1.64094,1.45048,1.11538,1.04297,1.08705,1.44302,1.75897,1.94317,1.57381,1.24479,1.06927,0.89876,1.06802,0.70935,0.4463,0.24255,
40 to 44,1.14631,1.26189,1.21798,1.08513,0.97738,1.16255,1.3691,1.73094,1.7875,1.22215,1.38256,0.95861,0.89907,0.73665,0.39619,0.24072,
45 to 49,0.7773,0.66035,0.79242,0.97609,1.07161,1.01056,1.06289,1.16887,1.38225,1.2017,1.37378,0.83677,0.76885,0.40103,0.28651,0.19094,
50 to 54,0.96818,0.55507,0.55288,0.61571,0.79953,1.02221,0.93263,0.96173,1.08838,0.97018,1.16261,0.95141,0.75944,0.51032,0.27876,0.21846,
55 to 59,0.87472,0.59421,0.34924,0.30556,0.51329,0.56138,0.67569,0.55028,0.43006,0.48994,0.73717,0.64508,0.6516,0.38119,0.15682,0.10677,
60 to 64,0.64864,0.56609,0.28329,0.23521,0.26151,0.32842,0.41224,0.43481,0.38537,0.27455,0.34167,0.40905,0.35583,0.30736,0.22242,0.06473,
65 to 69,0.50608,0.38629,0.28786,0.18214,0.14101,0.16093,0.19518,0.25364,0.22942,0.14436,0.12547,0.17342,0.22667,0.17173,0.15164,0.0885,
70 to 74,0.32603,0.19859,0.21022,0.1044,0.13238,0.06181,0.0844,0.12662,0.10638,0.08231,0.07212,0.06231,0.11311,0.09756,0.12283,0.06074,
75+,0.16463,0.14133,0.1653,0.0667,0.10486,0.03939,0.0691,0.04817,0.05295,0.0721,0.0581,0.04777,0.04328,0.04701,0.07204,0.03602,
