Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.78292,1.15181,0.53868,0.32695,0.5517,1.0051,0.97021,0.89782,0.57644,0.30697,0.46272,0.73406,0.86352,0.6058,0.30322,0.249,
5 to 9,1.33638,7.08844,2.60423,0.68842,0.4151,0.4874,1.1007,1.26072,0.92335,0.55446,0.48899,0.76608,0.80675,0.85231,0.79663,0.32345,
10 to 14,0.76103,1.65146,9.60278,3.21972,0.49617,0.25723,0.80754,1.06842,1.0317,0.6287,0.64322,0.49025,0.4918,0.66561,0.5987,0.43777,
15 to 19,0.48453,0.54833,1.19151,8.27096,2.82204,0.87781,0.44531,0.76587,0.89681,0.94769,0.80584,0.67679,0.52278,0.38061,0.5103,0.35406,
20 to 24,0.7718,0.33185,0.53081,1.79815,4.38236,2.35637,1.17577,0.78452,0.93697,0.82503,0.89703,0.7278,0.58817,0.41825,0.14851,0.12399,
25 to 29,1.11511,0.78546,0.46682,0.90906,2.3426,3.4226,2.02611,1.46149,1.23605,0.96851,1.21734,1.14401,0.91949,0.62168,0.30185,0.11526,
30 to 34,1.24182,1.05732,0.68614,0.66454,1.50987,2.20173,2.64325,1.83786,1.62819,1.16539,1.1783,1.30533,1.05301,0.80764,0.2754,0.17819,
35 to 39,1.06233,1.07462,0.92553,0.9187,1.27305,1.69319,2.08891,2.51342,1.82451,1.35447,1.14843,1.0494,1.12798,0.67453,0.47931,0.26714,
40 to 44,0.71066,0.92487,1.04789,1.07278,1.1346,1.40875,1.60644,2.11409,2.24518,1.43028,1.53685,1.20107,1.02393,0.71375,0.48635,0.26269,
45 to 49,0.47728,0.45974,0.65282,0.97408,1.26848,1.2062,1.27904,1.41258,1.66129,1.51615,1.61154,1.03548,0.91702,0.44594,0.37377,0.26179,
50 to 54,0.57459,0.34554,0.40552,0.53461,0.89566,1.1456,1.0438,1.06044,1.19811,1.07088,1.35963,1.17297,0.84106,0.52272,0.2983,0.26369,
55 to 59,0.52465,0.37544,0.25529,0.26397,0.56441,0.66854,0.81758,0.65969,0.52526,0.59197,0.89694,0.98899,0.90496,0.48599,0.21725,0.14946,
60 to 64,0.38505,0.36281,0.20092,0.1823,0.28951,0.37051,0.46308,0.47789,0.40555,0.29213,0.38999,0.55525,0.57724,0.45317,0.36548,0.11063,
65 to 69,0.2976,0.24695,0.20071,0.13527,0.13213,0.15715,0.2123,0.27133,0.20658,0.13953,0.13346,0.2026,0.3218,0.34176,0.31204,0.16191,
70 to 74,0.19767,0.12986,0.15503,0.07812,0.12153,0.06385,0.09215,0.14536,0.11507,0.08625,0.07759,0.0824,0.16709,0.1755,0.30268,0.14142,
75+,0.10032,0.09539,0.12636,0.05223,0.09865,0.03825,0.08053,0.05769,0.05436,0.0748,0.06387,0.05645,0.06729,0.08161,0.1532,0.09323,
