Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.24564,1.49762,0.71371,0.40993,0.64396,1.15513,1.05135,0.97087,0.68264,0.40126,0.52942,0.78115,0.8272,0.50612,0.2441,0.21217,
5 to 9,1.79935,7.21623,3.06454,0.81296,0.50087,0.57273,1.18982,1.31573,1.04816,0.7215,0.61797,0.89652,0.7831,0.72007,0.62772,0.27162,
10 to 14,1.06176,2.12241,12.39354,3.39323,0.55858,0.30783,0.85224,1.04244,1.05392,0.749,0.81538,0.59687,0.46558,0.54275,0.44107,0.35283,
15 to 19,0.67243,0.74813,1.37844,7.59251,2.71075,0.80189,0.38873,0.58716,0.79068,0.89298,0.75107,0.61698,0.46447,0.28586,0.37184,0.2868,
20 to 24,1.01229,0.447,0.63832,1.61803,3.99268,2.12774,1.00335,0.61292,0.73133,0.70173,0.72537,0.57008,0.40108,0.30138,0.09906,0.09288,
25 to 29,1.4426,1.01294,0.56863,0.82172,2.11351,3.08288,1.85504,1.26764,1.07513,0.86444,1.03532,0.94652,0.64282,0.48116,0.20087,0.08336,
30 to 34,1.58867,1.30679,0.78966,0.56446,1.33086,2.0733,2.38202,1.64799,1.49557,1.08227,1.06657,1.12717,0.7619,0.62118,0.17201,0.12341,
35 to 39,1.36075,1.32773,1.02549,0.81343,1.04396,1.54788,1.91976,2.15165,1.6322,1.25151,1.02144,0.89934,0.80543,0.48109,0.29645,0.18452,
40 to 44,0.93065,1.15382,1.15753,0.91656,0.94125,1.26013,1.47438,1.84787,1.936,1.28927,1.35152,1.01954,0.71445,0.54136,0.28925,0.17929,
45 to 49,0.63333,0.58778,0.73995,0.84486,1.08057,1.09633,1.17218,1.24766,1.46835,1.33618,1.4074,0.88848,0.63883,0.35225,0.22327,0.17027,
50 to 54,0.77034,0.46391,0.48484,0.476,0.76083,1.04816,0.96943,0.95097,1.07864,0.98637,1.16671,0.99372,0.60271,0.42593,0.19641,0.18185,
55 to 59,0.70499,0.50027,0.30813,0.23532,0.4931,0.60676,0.7463,0.5823,0.46415,0.53515,0.7749,0.78132,0.6119,0.36071,0.13549,0.09978,
60 to 64,0.51869,0.48249,0.24052,0.17218,0.22578,0.30212,0.38944,0.39923,0.33218,0.24167,0.29985,0.40422,0.34207,0.28637,0.21432,0.06917,
65 to 69,0.40397,0.32907,0.24037,0.13627,0.12793,0.15674,0.20439,0.24706,0.19967,0.139,0.11906,0.17079,0.22384,0.19557,0.17178,0.10123,
70 to 74,0.26619,0.17048,0.18149,0.08293,0.12379,0.06416,0.08655,0.1281,0.10528,0.08275,0.06595,0.06407,0.11404,0.10192,0.15519,0.0821,
75+,0.1346,0.1248,0.14723,0.05475,0.10017,0.03857,0.07549,0.05053,0.04994,0.07151,0.05335,0.04496,0.0451,0.04736,0.08447,0.05051,
