Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.0283,1.33824,0.61307,0.35633,0.52943,1.09008,0.94361,0.87383,0.55777,0.29724,0.33424,0.65392,0.65148,0.37231,0.19488,0.24543,
5 to 9,1.71035,7.5771,3.01367,0.87189,0.43521,0.46552,1.06917,1.36941,1.11782,0.73062,0.43944,0.67107,0.57492,0.46417,0.47114,0.35742,
10 to 14,1.05973,2.16588,10.3419,3.62773,0.62498,0.29217,0.71077,1.16964,1.19466,0.96219,0.71789,0.56939,0.39581,0.44974,0.36342,0.49413,
15 to 19,0.62646,0.75867,1.41199,8.54155,2.83512,0.92953,0.3987,0.6697,0.8217,1.04279,0.76902,0.70669,0.43855,0.26834,0.34441,0.36243,
20 to 24,0.88378,0.38409,0.64825,1.97177,3.98573,2.12722,0.92905,0.59662,0.6637,0.70964,0.77825,0.69857,0.49038,0.35521,0.10685,0.12082,
25 to 29,1.37321,0.84338,0.54884,1.03591,2.17426,2.95716,1.72132,1.21115,0.99693,0.87713,1.12865,1.14576,0.8637,0.65111,0.26776,0.1326,
30 to 34,1.542,1.17683,0.72809,0.72648,1.36479,2.03201,2.1868,1.62283,1.42555,1.12303,1.16675,1.35007,1.0082,0.78157,0.20845,0.16784,
35 to 39,1.21419,1.12603,0.91307,0.91991,1.09992,1.54037,1.83687,2.17026,1.6407,1.3651,1.21804,1.08709,1.04399,0.42582,0.24667,0.24431,
40 to 44,0.94204,1.16125,1.16837,1.11199,0.98499,1.28777,1.48942,2.01483,2.02811,1.50351,1.67814,1.3299,1.0742,0.66472,0.29261,0.31232,
45 to 49,0.63774,0.61201,0.79357,1.02735,1.11211,1.1218,1.18118,1.35092,1.59715,1.53983,1.76635,1.18513,1.00876,0.49001,0.25356,0.2795,
50 to 54,0.72916,0.41839,0.48519,0.55755,0.80229,1.08791,0.97166,1.0682,1.21438,1.16501,1.51913,1.31283,0.92238,0.61416,0.1815,0.22914,
55 to 59,0.69486,0.45272,0.31607,0.2982,0.54724,0.66091,0.77791,0.63832,0.53703,0.67487,1.01313,1.12405,0.99522,0.4944,0.16048,0.11812,
60 to 64,0.5307,0.45591,0.24804,0.22219,0.28882,0.39832,0.45927,0.42486,0.39082,0.32581,0.4383,0.63075,0.59907,0.45662,0.26073,0.09272,
65 to 69,0.42316,0.31371,0.25723,0.17694,0.15684,0.20469,0.23262,0.25314,0.20188,0.17786,0.15927,0.22693,0.3253,0.31534,0.27495,0.16295,
70 to 74,0.27262,0.15986,0.18433,0.09764,0.12888,0.06615,0.08114,0.10986,0.07504,0.08141,0.06889,0.074,0.12421,0.13015,0.22332,0.13787,
75+,0.13444,0.11595,0.15164,0.06227,0.10138,0.03867,0.06593,0.044,0.03799,0.06902,0.05348,0.04629,0.04989,0.04913,0.11134,0.07747,
