Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.34086,0.90882,0.49283,0.31718,0.49553,0.89166,0.85835,0.85188,0.66159,0.38639,0.59838,0.88386,0.99856,0.64965,0.26085,0.19503,
5 to 9,1.05839,9.30701,2.57093,0.68294,0.3668,0.4289,0.98837,1.21906,1.07802,0.71029,0.59726,0.89881,0.94428,0.93269,0.70277,0.26031,
10 to 14,0.6191,1.46976,7.86262,2.60514,0.44934,0.22424,0.71037,1.02739,1.21118,0.82142,0.77661,0.5564,0.57409,0.73044,0.53415,0.35569,
15 to 19,0.3931,0.46875,1.04473,6.24419,2.34832,0.74597,0.37246,0.66523,0.96154,1.09229,0.91449,0.7112,0.56345,0.38887,0.45609,0.29105,
20 to 24,0.65269,0.27639,0.49168,1.70111,3.89495,2.12824,1.05796,0.71507,0.94378,0.93821,1.05767,0.78776,0.55446,0.4013,0.13403,0.10259,
25 to 29,0.95894,0.6859,0.43791,0.86361,2.16047,3.04492,1.84126,1.3334,1.1803,0.975,1.29012,1.19296,0.82452,0.51432,0.27626,0.09571,
30 to 34,1.04118,0.92124,0.64301,0.61167,1.37459,1.98201,2.32969,1.68788,1.57628,1.11594,1.13638,1.27632,0.94237,0.73758,0.25233,0.14691,
35 to 39,0.87262,0.91449,0.8577,0.86028,1.11781,1.47248,1.82027,2.18671,1.73049,1.27953,1.02847,0.93176,0.94467,0.68683,0.43806,0.22365,
40 to 44,0.59128,0.78112,0.95305,0.99771,0.99652,1.20956,1.37648,1.82831,2.06537,1.35269,1.35295,0.99856,0.77327,0.63853,0.44915,0.22146,
45 to 49,0.4017,0.39074,0.5972,0.89735,1.10574,1.0294,1.07187,1.18877,1.48581,1.41427,1.43865,0.872,0.6313,0.34608,0.34311,0.21545,
50 to 54,0.48997,0.29958,0.37567,0.49328,0.77677,0.97747,0.88641,0.8773,1.03664,1.02963,1.20666,1.05414,0.62786,0.39743,0.26819,0.21738,
55 to 59,0.45396,0.3319,0.23914,0.24036,0.48701,0.55635,0.6827,0.5562,0.44229,0.51579,0.83253,0.87004,0.7165,0.41921,0.19684,0.12098,
60 to 64,0.33179,0.32095,0.19003,0.16789,0.21618,0.26551,0.35304,0.41394,0.34867,0.25927,0.35357,0.50929,0.51128,0.40471,0.335,0.09005,
65 to 69,0.2538,0.2169,0.19041,0.12772,0.10702,0.11547,0.16523,0.24652,0.21056,0.13938,0.14541,0.22023,0.34,0.34223,0.28576,0.13278,
70 to 74,0.16706,0.11298,0.14569,0.07904,0.11183,0.05739,0.0836,0.14522,0.13867,0.12004,0.1048,0.10459,0.20235,0.19417,0.26686,0.11608,
75+,0.08439,0.08262,0.11832,0.05255,0.09064,0.034,0.07292,0.05752,0.06491,0.10308,0.08521,0.07053,0.08095,0.09071,0.13809,0.07313,
