Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.29605,0.80258,0.31692,0.21162,0.37891,0.72329,0.69138,0.76938,0.66115,0.45465,0.78849,1.24922,1.47827,0.95203,0.47103,0.40357,
5 to 9,0.82214,7.62307,2.26746,0.46592,0.28965,0.34583,0.79943,1.09266,1.05884,0.81145,0.7569,1.24179,1.36742,1.34255,1.24766,0.52275,
10 to 14,0.41559,1.13189,9.89576,3.02713,0.3492,0.18565,0.58968,0.93899,1.24244,0.95469,0.99681,0.77296,0.83914,1.04846,0.95545,0.71777,
15 to 19,0.26876,0.32499,0.84676,7.91005,2.20546,0.59051,0.296,0.56835,0.99088,1.29396,1.15923,0.95952,0.82207,0.56184,0.81403,0.58095,
20 to 24,0.42158,0.20094,0.33653,1.15844,3.46663,1.89534,0.93947,0.69555,0.99711,1.13148,1.39736,1.08108,0.81896,0.58933,0.24917,0.20956,
25 to 29,0.64642,0.46998,0.29411,0.56921,1.83636,3.19216,1.8113,1.4675,1.40777,1.25502,1.7907,1.74146,1.29267,0.81407,0.51011,0.19795,
30 to 34,0.72096,0.69265,0.45796,0.40753,1.17977,1.975,2.48758,1.82269,1.85894,1.43657,1.56205,1.88105,1.49262,1.13362,0.45759,0.30973,
35 to 39,0.61032,0.69025,0.64228,0.60915,1.0125,1.56361,1.89579,2.61152,2.08752,1.68506,1.4588,1.39987,1.53292,1.06542,0.82119,0.44837,
40 to 44,0.38515,0.55759,0.70652,0.74778,0.9162,1.32868,1.49175,2.10785,2.69282,1.79904,1.93673,1.51664,1.28526,1.00288,0.83763,0.44919,
45 to 49,0.2582,0.27386,0.42721,0.68465,1.04567,1.12143,1.19861,1.41248,1.8752,2.08849,2.10058,1.33152,1.08061,0.57963,0.63878,0.45883,
50 to 54,0.31725,0.20228,0.25511,0.35699,0.74439,1.08004,0.95202,1.07254,1.35147,1.4067,1.96404,1.6344,1.06129,0.66503,0.49159,0.45523,
55 to 59,0.28364,0.22419,0.15917,0.16687,0.44033,0.61031,0.72994,0.64726,0.58454,0.72571,1.23218,1.56048,1.22028,0.68213,0.36833,0.26408,
60 to 64,0.20962,0.21178,0.12527,0.11428,0.20883,0.30919,0.37759,0.43876,0.44098,0.3663,0.53886,0.82129,0.99775,0.66598,0.6318,0.19834,
65 to 69,0.15596,0.14299,0.12511,0.08715,0.09085,0.11785,0.15851,0.24592,0.24009,0.18959,0.21383,0.34301,0.55907,0.64998,0.54851,0.28719,
70 to 74,0.10383,0.07559,0.09862,0.0533,0.08901,0.04942,0.06996,0.13728,0.15169,0.15113,0.14752,0.16202,0.32933,0.30593,0.5981,0.25348,
75+,0.05527,0.05789,0.08115,0.03809,0.07498,0.03258,0.06252,0.0545,0.07204,0.13685,0.12985,0.11537,0.13433,0.1469,0.26257,0.18739,
