Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.81248,1.0553,0.4166,0.26764,0.47307,0.87521,0.82983,0.7763,0.50474,0.32722,0.5209,0.79466,0.90624,0.55082,0.30846,0.25032,
5 to 9,1.15245,6.76072,2.29946,0.56974,0.35029,0.4255,0.94381,1.10115,0.81435,0.58119,0.5223,0.79174,0.8327,0.77334,0.81417,0.32619,
10 to 14,0.62006,1.41165,9.20002,2.8154,0.43564,0.22516,0.71087,0.96198,0.96277,0.69691,0.70991,0.51729,0.51954,0.61321,0.63379,0.45286,
15 to 19,0.39268,0.44712,0.97521,6.79775,2.34395,0.7018,0.34149,0.58208,0.77963,0.96635,0.83603,0.65978,0.53085,0.33767,0.54965,0.3715,
20 to 24,0.6233,0.26653,0.42273,1.38076,3.77794,2.03274,0.95385,0.62897,0.77581,0.83467,0.98872,0.75738,0.5757,0.37655,0.17191,0.13677,
25 to 29,0.91259,0.6601,0.37512,0.70077,1.99089,3.38691,1.95003,1.44715,1.2467,1.06446,1.43304,1.33643,1.02128,0.59686,0.34937,0.13195,
30 to 34,1.0324,0.91548,0.57071,0.49421,1.24448,2.15382,2.64563,1.83736,1.65689,1.27809,1.34477,1.50788,1.19296,0.81266,0.33132,0.21262,
35 to 39,0.89319,0.9364,0.78873,0.73814,1.00873,1.66315,2.05422,2.57614,1.86705,1.48907,1.29256,1.18237,1.26637,0.71389,0.58981,0.3116,
40 to 44,0.59127,0.802,0.89379,0.88698,0.93388,1.38518,1.57845,2.12063,2.33502,1.58244,1.71845,1.32776,1.11353,0.72396,0.61099,0.31459,
45 to 49,0.38724,0.3911,0.54707,0.81817,1.10913,1.19197,1.26572,1.4195,1.69992,1.74364,1.84139,1.14858,0.98168,0.44147,0.46533,0.32328,
50 to 54,0.46326,0.28574,0.33306,0.43818,0.77522,1.15939,1.03727,1.08248,1.24461,1.22502,1.62996,1.3667,0.92224,0.50861,0.35044,0.30862,
55 to 59,0.42015,0.31051,0.20668,0.20644,0.48501,0.67309,0.80762,0.66212,0.54078,0.65529,1.05689,1.20752,1.03039,0.49657,0.26327,0.17926,
60 to 64,0.30829,0.29872,0.16155,0.14388,0.23195,0.36135,0.4484,0.46936,0.40572,0.32793,0.46111,0.66423,0.72631,0.48417,0.46085,0.13921,
65 to 69,0.23618,0.20348,0.16152,0.11054,0.1111,0.14292,0.19437,0.26087,0.2025,0.15705,0.16418,0.24819,0.39969,0.41009,0.4044,0.20267,
70 to 74,0.15722,0.10773,0.12613,0.06826,0.11257,0.06087,0.08685,0.14352,0.12079,0.11408,0.10615,0.1114,0.22172,0.2033,0.41944,0.18504,
75+,0.08042,0.07979,0.10306,0.04659,0.09235,0.03726,0.07602,0.05682,0.05698,0.10036,0.08908,0.07608,0.08992,0.09557,0.1986,0.12934,
