Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.91976,1.33849,0.68263,0.41043,0.58824,1.10351,1.09054,1.15896,0.83309,0.43733,0.56185,0.80877,1.04289,0.70129,0.33851,0.26369,
5 to 9,1.57321,7.13285,2.86017,0.81614,0.45515,0.54622,1.22545,1.56384,1.26041,0.76378,0.57719,0.85755,0.95047,0.95404,0.8454,0.32998,
10 to 14,0.9395,1.94761,10.30091,3.24196,0.51029,0.29491,0.87985,1.25329,1.28776,0.80191,0.72588,0.52647,0.55804,0.71303,0.58357,0.42945,
15 to 19,0.5951,0.69205,1.31836,7.6331,2.50728,0.84773,0.44391,0.79312,1.00637,1.0223,0.78595,0.64541,0.56505,0.39229,0.49388,0.35034,
20 to 24,0.91317,0.40943,0.60899,1.73216,3.87352,2.29012,1.1836,0.81649,0.98606,0.87101,0.84845,0.6741,0.56826,0.40833,0.13521,0.11561,
25 to 29,1.30441,0.9459,0.54308,0.902,2.21095,3.41697,2.1516,1.62288,1.3899,1.06066,1.23387,1.12844,0.92412,0.60578,0.28094,0.10409,
30 to 34,1.42542,1.23081,0.76691,0.63639,1.42706,2.27319,2.6926,2.01892,1.83543,1.26099,1.22746,1.32117,1.0638,0.78757,0.24487,0.15868,
35 to 39,1.21251,1.23503,0.99883,0.89134,1.18213,1.75291,2.17383,2.62733,1.99336,1.44601,1.16588,1.05303,1.12331,0.64592,0.4222,0.24139,
40 to 44,0.82309,1.06003,1.11004,1.00652,1.03407,1.44688,1.67425,2.23266,2.34715,1.47518,1.52418,1.18884,0.99372,0.6785,0.4063,0.2357,
45 to 49,0.55951,0.53609,0.70096,0.90822,1.12309,1.2045,1.3092,1.473,1.73322,1.50243,1.54045,0.99986,0.87039,0.40128,0.30329,0.21222,
50 to 54,0.68521,0.4223,0.45527,0.51728,0.81006,1.15351,1.07371,1.12945,1.27121,1.1079,1.28758,1.11631,0.8128,0.4843,0.26146,0.22668,
55 to 59,0.62674,0.45908,0.28862,0.25671,0.51997,0.67687,0.84161,0.71196,0.56454,0.61708,0.87212,0.90428,0.84259,0.42971,0.17471,0.11971,
60 to 64,0.45965,0.44125,0.22813,0.18426,0.26348,0.37248,0.46842,0.51722,0.44534,0.3059,0.36638,0.49408,0.48,0.37254,0.28023,0.08323,
65 to 69,0.35542,0.29998,0.22821,0.14014,0.1221,0.15596,0.21081,0.29461,0.24087,0.14895,0.1221,0.17648,0.27408,0.24835,0.22333,0.12006,
70 to 74,0.23414,0.15648,0.1735,0.08335,0.11259,0.06107,0.09082,0.15759,0.1324,0.09491,0.07004,0.06728,0.14121,0.13517,0.20463,0.09812,
75+,0.11838,0.11396,0.14023,0.05501,0.09085,0.03685,0.07819,0.0619,0.06331,0.08231,0.05703,0.04731,0.05605,0.06336,0.1088,0.06135,
