Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.69456,0.91616,0.33962,0.24937,0.39915,0.8304,0.74267,0.75036,0.65969,0.36105,0.62944,1.16801,1.33521,0.95283,0.47441,0.32358,
5 to 9,0.9102,8.25995,2.42446,0.54516,0.30364,0.39598,0.86428,1.07995,1.07275,0.64543,0.63688,1.16943,1.23053,1.34122,1.25552,0.42077,
10 to 14,0.4227,1.13921,10.25568,3.32227,0.37158,0.21122,0.63172,0.92669,1.27176,0.76293,0.84081,0.73599,0.75178,1.04501,0.96887,0.57357,
15 to 19,0.27393,0.32071,0.90218,8.72061,2.27055,0.66002,0.30697,0.54336,1.0105,1.05905,0.97816,0.91133,0.74562,0.55984,0.83037,0.46953,
20 to 24,0.40885,0.1945,0.35879,1.33604,3.69084,2.12722,0.96975,0.67882,0.98527,0.94366,1.1753,1.01863,0.72456,0.57606,0.26028,0.17281,
25 to 29,0.63,0.45891,0.31377,0.64977,1.94717,3.51361,1.8275,1.39879,1.33302,1.05794,1.50321,1.60889,1.11225,0.74281,0.53447,0.16586,
30 to 34,0.71208,0.68273,0.4906,0.45566,1.21608,2.0821,2.46722,1.6976,1.71862,1.17447,1.26898,1.67049,1.27012,1.08008,0.48355,0.25887,
35 to 39,0.60193,0.68356,0.69288,0.69497,1.02442,1.59251,1.82563,2.43994,1.93097,1.365,1.17299,1.20388,1.27359,1.06554,0.8636,0.37326,
40 to 44,0.38116,0.55563,0.76952,0.86237,0.92536,1.31302,1.38619,1.89838,2.49032,1.43998,1.53259,1.25798,1.01901,0.94919,0.88837,0.37371,
45 to 49,0.25355,0.27061,0.463,0.79127,1.07084,1.12077,1.0852,1.23943,1.65649,1.66411,1.64692,1.1002,0.81539,0.5149,0.67529,0.38415,
50 to 54,0.3097,0.2006,0.2767,0.41069,0.74687,1.08295,0.87896,0.91711,1.15517,1.09296,1.54201,1.38153,0.82126,0.57879,0.51252,0.37876,
55 to 59,0.27716,0.21967,0.17172,0.1887,0.44002,0.60672,0.67409,0.56224,0.49278,0.5466,0.94693,1.36705,0.9857,0.63909,0.38566,0.21895,
60 to 64,0.20444,0.20751,0.13407,0.12883,0.18869,0.27896,0.3374,0.39369,0.38035,0.26412,0.40131,0.71298,0.89574,0.65202,0.66948,0.16655,
65 to 69,0.15227,0.14002,0.13379,0.09998,0.08751,0.11165,0.14729,0.22818,0.22509,0.13688,0.16549,0.3143,0.50868,0.69592,0.58587,0.24118,
70 to 74,0.10131,0.0739,0.10553,0.06291,0.09537,0.05747,0.07577,0.13642,0.15529,0.1218,0.12211,0.15666,0.30941,0.32124,0.64962,0.21522,
75+,0.05405,0.05679,0.08704,0.0451,0.08035,0.03784,0.06783,0.05428,0.07353,0.11031,0.10791,0.11087,0.1263,0.15454,0.28179,0.16181,
